PERGUNTAS,RESPOSTAS
Carlos Henrique Xavier,"Professor Associado no Departamento de Ciências Fisiológicas da Universidade Federal de Goiás (UFG) (2012-Atual). Bolsista Produtividade em Pesquisa do CNPq (nível 2, Comitê BF – 2019-atual). Mestre (2008) e Doutor (2012) em Ciências Biológicas (Fisiologia e Farmacologia) pela Universidade Federal de Minas Gerais, com períodos como Research Fellow na School of Biomedical Sciences and Pharmacy da University of Newcastle (Australia) em 2009 e no Department of Neurological Surgery da Oregon Health and Sciences University (USA) em 2011. Coordenador de Pesquisa do Instituto de Ciências Biológicas da UFG (2020-24). Membro da Câmara de Pesquisa e Pós-Graduação (CPPG) do Conselho de Ensino, Pesquisa, Extensão e Cultura (CEPEC) – CPPG/CEPEC UFG. Membro do Conselho (delegado da regional Centro-Oeste) da Sociedade Brasileira de Neurociências e Comportamento (SBNeC 2022-atual) e do Conselho Executivo Nacional da Sociedade Brasileira de Fisiologia (SBFis 2020-22). Coordenador do Laboratório de Neurobiologia de Sistemas do ICB-UFG. Docente permanente (2014-Atual) do Programa de Pós-graduação em Ciências Biológicas (ICB – UFG) (CAPES 5) nas áreas de concentração Fisiologia e Farmacologia. As linhas de pesquisa enfatizam Fisiologia/Farmacologia e Neurociências. Os principais projetos de pesquisa abordam: Avaliação pré-clínica dos efeitos centrais e periféricos de moléculas biologicamente ativas que possam atuar sobre diferentes órgãos e sistemas; Contribuições neuroendócrinas e autonômicas para o controle de diferentes órgãos e sistemas fisiológicos; Mecanismos envolvidos nas respostas fisiopatológicas em reações de defesa, com enfoque nas vias encefálicas que organizam a reatividade autonômica ao estresse emocional; Neurobiologia da interface autonômico-comportamental. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Carolina Chaves Soares,"Doutora em Direito pela Universidade Estácio de Sá. Graduada e Mestre em Direito pela Universidade Federal de Goiás. Professora da Universidade Federal de Goiás e da Pontifícia Universidade Católica de Goiás, nas disciplinas Direito Processual Civil e Estágio de Prática Jurídica (graduação e pós graduação). Membro da Associação Brasileira Elas no Processo e Advogada. Não atua em nenhum curso da Escola de Pós da UFG."
Claudio Andre Barbosa de Lira,"Graduação em Ciências Biológicas (Modalidade Médica) pela Universidade Federal de São Paulo-UNIFESP (2001). Especialização em Fisiologia do Exercício pela UNIFESP (2002). Mestrado (2004) e Doutorado em Ciências (2008) pelo Programa de Pós-graduação em Farmacologia (Laboratório de Fisiologia do Exercício do Departamento de Fisiologia) da UNIFESP. Realizou estágio pós-doutoral no Centro de Educação Física e Desportos da Universidade Federal do Espírito Santo (2018). Atualmente, é Professor Associado da Faculdade de Educação Física e Dança (FEFD) da UFG, onde atua em atividades de ensino, pesquisa e extensão. No âmbito da pós-graduação, atua como orientador do Programa de Pós-graduação em Ciências da Saúde da Faculdade de Medicina da UFG (mestrado e doutorado) e do Programa de Pós-graduação em Educação Física da FEFD-UFG (mestrado). É autor do livro “Fisiologia do Exercício” (1a. edição, Editora Manole, 2016). É coordenador do Projeto de Extensão FEFD Solidária, por meio do qual já foram doados mais de 1 tonelada de alimentos a entidades assistenciais localizadas no município de Goiânia (GO). De acordo com a base de dados Scopus, está entre os 10 professores com maior produção científica da história da UFG. Tem experiência na área de Fisiologia com ênfase na aplicação dos conceitos da Fisiologia do Exercício na saúde, doença e esporte de alto rendimento e na área de ensino de Ciências da Saúde com ênfase no ensino de Fisiologia Humana e do Exercício. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Como funciona o Trabalho de Conclusão de Curso (TCC)?,"O Trabalho de Conclusão de Curso (TCC) é uma atividade acadêmica obrigatória para receber o certificado de conclusão do curso de pós-graduação. Cada curso possui critérios diferentes, estabelecidos no regulamento e no projeto pedagógico do curso, assim você deve buscar essas informações na página do curso escolhido.
"
Como posso saber informações de um curso?,"Você consegue obter informações na página de cada curso, ou por meio dos contatos diretos da Escola de Pós UFG disponíveis abaixo. Telefone e Whatsapp: 62 3521-1076 E-mail: escoladepos@ufg.br"
Daniel Alves Rosa,"Professor Titular do Instituto de Ciências Biológicas (ICB) da Universidade Federal de Goiás – UFG. Coordenador do Curso de Pós-graduação Lato Sensu em Fisiologia Humana Aplicada às Ciências da Saúde. Membro participante do BRISA (Brazilian Reproducibility Initiative in preclinical Systematic review and meta-Analysis), uma rede brasileira de pesquisadores que oferece treinamento e fomenta o desenvolvimento de revisões sistemáticas e meta-análises colaborativas em ciência biomédica básica. Membro da Sociedade Brasileira de Fisiologia – SBFis. Possui experiência em fisiologia, com ênfase em fisiologia cardiovascular, ritmos circadianos e Sono. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Danielle Guimarães A. Diniz,"Graduada em Farmácia pela Universidade Federal de Goiás em 1999, concluiu mestrado em química em 2003 pela mesma instituição. Doutora em Ciências da Saúde pela UNB. Professora associada da UFG  da disciplina de Farmacotécnica. Atua na área de Farmácia, com ênfase em Nanotecnologia Farmacêutica e Sistemas de Liberação de Fármacos, Cromatografia e Estabilidade. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Derblai Casaroli,"Graduação em Agronomia e Mestrado em Produção Vegetal pela Universidade Federal de Santa Maria (UFSM). Doutorado em Agronomia na área de Física do Ambiente Agrícola pela Escola Superior de Agricultura “Luiz de Queiroz”- Universidade de São Paulo (ESALQ/USP). Dois Pós-Doutorados, um realizado no departamento de Engenharia de Biossistemas da ESALQ/USP, com estágio na Universidade de Wageningen, Holanda, e outro realizado junto ao Centro de Energia Nuclear na Agricultura (CENA/USP). Atualmente é Professor Associado na Escola de Agronomia da Universidade Federal de Goiás (EA/UFG), Campus Goiânia-GO, ministrando aulas nas disciplinas de Climatologia Agrícola, para o curso de Agronomia, e de Climatologia Aplicada ao Planejamento Agrícola, no Programa de Pós-Graduação em Agronomia da UFG. Bolsista de Produtividade em Pesquisa do CNPq (nível 2). Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
Diego Basile Colugnati,"Professor Associado da Universidade Federal de Goiás, Departamento de Ciências Fisiológicas – ICB. Graduado em Fisioterapia pela Universidade Estadual Paulista Júlio de Mesquita Filho (2002). Mestre em Engenharia Biomédica pelo Núcleo de Pesquisas Tecnológicas (Universidade de Mogi das Cruzes -2005). Doutor em Ciências pela Universidade Federal de São Paulo, Escola Paulista de Medicina, pela disciplina de neurologia experimental (2009). Experiência na área de Fisiologia, com ênfase em Fisiologia de Órgãos e Sistemas, atuando principalmente nos seguintes temas: Sistema Nervoso, Sistema Cardiovascular, Morte Súbita e Inesperada na Epilepsia. Na Escola de Pós é docente do curso: Fisiologia Humana Aplicada às Ciências da Saúde."
Diogo Pedrosa Correa da Silva,"Graduado em Engenharia Agronômica. Mestre e Doutor em Agronomia/Fisiologia Vegetal. Especialista em Viticultura e Enologia e Sommelier profissional. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
É possível mudar de curso?,"Sim! Você pode mudar de curso, basta ingressar no processo seletivo do novo curso e seguir as regras do edital do mesmo.
"
Elton Clementino da Silva,"Graduação em Farmácia-Bioquímica pela Universidade Federal de Ouro Preto (1988).Mestrado (1994) e Doutorado (1998) em Fármaco e Medicamentos pela Universidade de São Paulo, São Paulo/SP. Cursos de aperfeiçoamento em Cosmetologia na UNESP Araraquara, Universidade de Buenos Aires e ABC, Associação Brasileira de Cosmetologia. Experiência em ensino superior na área de Farmácia. Sócio da Associação Brasileira de Cosmetologia e da IFSCC (International Federation of Societies of Cosmetic Chemists). Ex-coordenador do curso de Farmácia e atualmente é docente das disciplinas de Cosmetologia e Farmacotécnica do curso de Farmácia da Universidade de Brasília, campus de Ceilândia. Atua em desenvolvimento de cosméticos e medicamentos. Na área Cosmética desenvolve trabalhos no aproveitamento de resíduos de produtos agrícolas assim como na pesquisa e desenvolvimento de cosméticos com utilizando produtos da nossa biodiversidade com ênfase em fitocosméticos, nanopartículas e produtos provenientes da viticultura. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
"Em caso de ausência em alguma disciplina, o que fazer?","Se você faltar a alguma disciplina, é importante informar a ausência à coordenação do curso ou ao professor responsável, justificando o motivo.
"
Eric de Souza Gil,"Graduação em Farmácia e Bioquímica pela Universidade de São Paulo (1994). Mestrado em Fármacos e Medicamentos pela Universidade de São Paulo (1997). Doutorado em Química Analítica pela Universidade Estadual de Campinas (2000). Atualmente é professor associado da Universidade Federal de Goiás e coordenador do programa de pós-graduação em ciências farmacêuticas (2019-2021). Tem experiência na área de Eletroanalítica e Controle Físico-Químico de Qualidade de Medicamentos, atuando principalmente nos seguintes temas: Produção e controle de qualidade de medicamentos, fitoterápicos e cosméticos; Desenvolvimento de sensores eletroquímicos para análise farmacêutica e ambiental; Análise térmica estudos de estabilidade;Bio inorgânica e bio eletroanalítica; Remediação eletroquímica. Na Escola de Pós é docente do curso: Vitivinicultura, Serviços e Produtos."
ESPECIALIZAÇÃO EM Construção Civil,"O curso pertence à área de Engenharias. O curso destina-se a profissionais portadores de diploma de curso superior, tais como Engenharia Civil ou Arquitetura. O curso de Especialização em Construção Civil é a oportunidade ideal para engenheiros e arquitetos que buscam se destacar no mercado da construção civil. Oferecida pela Universidade Federal de Goiás (UFG), a especialização une teoria e prática para atender à crescente demanda por atualização em técnicas construtivas, novos materiais e gestão de obras na região Centro-Oeste. Este curso proporciona uma experiência prática em temas como tecnologia de construção, conforto ambiental, gerenciamento de qualidade, patologia e terapia de obras, além de desempenho térmico e acústico das edificações. Suas aulas combinam teoria em sala e práticas em canteiros de obras reais, preparando os profissionais para os desafios do mercado. Objetivos Específicos: o curso visa especializar profissionais com foco em: a) Técnicas modernas de construção civil; b) Gerenciamento de obras e controle de qualidade; c) Sustentabilidade e desempenho de edificações; d) Aplicação prática de conhecimentos em projetos reais. Horários: sextas-feiras (18h30 às 22h) e sábados (8h às 12h e 13h30 às 17h). Local: Centro de Aulas da Engenharia, Campus Colemar Natal e Silva, UFG. Carga horário 456h. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas previsto para 01/04/2025. Taxa de matrícula de R$ 600,00; Valor da mensalidade: R$ 600,00. Para mais informações: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-construcao-civil/"
ESPECIALIZAÇÃO EM​ Direito e Processo do Trabalho para Advogados,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a Advogados e bacharéis em Direito. O curso de Especialização em Direito e Processo do Trabalho para Advogados se faz necessário pela demanda existente e a necessidade de fomentar a formação científico-jurídica dos Advogados do Estado de Goiás, inscritos na OAB-GO, oferecendo, desta forma, espaço propício para a reflexão das práticas jurídicas e suas vinculações com o Estado e a sociedade. O curso tem por objeto contribuir com a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. Duração de 12 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 15/09/2023. Taxa de matrícula de R$ 450,00; Valor da mensalidade: R$ 450,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-direito-e-processo-do-trabalho-para-advogados/
"
ESPECIALIZAÇÃO EM Direito e Processo Eleitoral,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a profissionais dos Tribunais Regionais Eleitorais, juízes, promotores e interessados na área. O curso de Especialização em Direito Eleitoral e Processo Eleitoral , tem foco em aprofundar o estudo do Direito Eleitoral e contribuir para a solução de conflitos sociais, além de incentivar a formação contínua. Objetivos Específicos: a) Qualificar e aprimorar a atuação dos profissionais interessados. b) Estudar, de forma aprofundada, o Direito Eleitoral e Processo Eleitoral. c) Contribuir com a formação de profissionais na área jurídica que sejam capazes de intervir na vida social e na organização do Estado, procurando a melhor aplicação dos sistemas de Direito e contribuindo para a solução de conflitos sociais. d) Proporcionar aos participantes referenciais técnicos, conceituais e práticos de Direito Eleitoral e Processual Eleitoral, para o adequado desenvolvimento de sua carreira jurídica e administrativa. e) Estimular a atualização de conteúdos materiais e processuais no exercício de suas atividades, consoante as últimas atualizações das disciplinas. f) Incentivar a formação contínua e aquisição do conhecimento interdisciplinar e transdisciplinar na área do Direito Eleitoral e do Processo Eleitoral. Carga horária: 12 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 15/09/2023. Valor da mensalidade: R$ 360,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-direito-e-processo-eleitoral/"
ESPECIALIZAÇÃO EM Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas,"O curso pertence à área de Ciências da Saúde. O curso destina-se profissionais graduados na área de Enfermagem. O curso de Especialização em Enfermagem Dermatológica com Ênfase na Assistência à Pessoas com Feridas visa formar profissionais capacitados para atuar em diferentes frentes, desde a assistência clínica até a gestão de recursos e materiais. O programa se destaca pela ênfase em competências essenciais como prevenção, tratamento e terapias avançadas, sempre com uma abordagem baseada em evidências científicas. Além disso, promove o desenvolvimento de habilidades em supervisão clínica, formação de equipes, liderança e auditoria de qualidade. Duração do curso: 19 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas Abril de 2025. Taxa de matrícula de R$ 150,00; Valor da mensalidade: R$ 550,00. Para mais informações: https://escoladepos.ufg.br/cursos/especializacao-em-enfermagem-dermatologica-com-enfase-na-assistencia-a-pessoas-com-feridas/


"
ESPECIALIZAÇÃO EM​ Enfermagem em Unidade de Terapia Intensiva em Neonatologia,"O curso pertence à área de Ciências da Saúde. O curso destina-se a profissionais graduados na área de Enfermagem. A Especialização em Enfermagem em Unidade de Terapia Intensiva em Neonatologia visa capacitar enfermeiros para atuar no cuidado integral à saúde neonatal e à família, com ênfase no terceiro nível de atenção, alinhado às boas práticas e às evidências científicas, respeitando os princípios do Sistema Único de Saúde (SUS). Objetivos Específicos: a) Melhorar os indicadores de saúde neonatal no estado de Goiás; b) Formar profissionais humanísticos e éticos, focados em cuidado baseado em evidências; c) Desenvolver competências técnico-científicas para assistência integral ao recém-nascido e à família; d) Fortalecer os serviços de saúde no atendimento neonatal. Horários: Sextas-feiras (18h às 22h) e sábados (8h às 12h e 14h às 18h). Local: Hospitais públicos de Goiânia-GO, que atendem exclusivamente pelo SUS (aulas práticas) e Google Meet (aulas remotas). Carga horária: 360h. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 21/02/2025. Taxa de matrícula de R$ 560,00; Valor da mensalidade: R$ 560,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-enfermagem-em-unidade-de-terapia-intensiva-em-neonatologia/"
"ESPECIALIZAÇÃO EM Ensino de Línguas Adicionais, de Acolhimento e de Herança","O curso pertence à área de Linguística, Letras e Artes. O curso destina-se a capacita profissionais da área de Letras para atuar no ensino de línguas com foco em inclusão de alunos estrangeiros, especialmente em situação de vulnerabilidade. O curso de Especialização Ensino de Línguas Adicionais, de Acolhimento e de Herança tem como objetivo discutir tópicos que sejam pertinentes às novas demandas que surgem nesse cenário de inserção de alunos estrangeiros, a partir de uma vertente intercultural, promovendo e buscando a sensibilização cultural. É preciso ressaltar que o curso proposto pode atender às necessidades de qualificação e capacitação de profissionais que atuam na esfera municipal, estadual e particular de ensino, além de contribuir para a melhoria da inserção social de muitos estudantes estrangeiros (refugiados e imigrantes) em situação de vulnerabilidade social, tendo em vista que irá evidenciar abordagens e procedimentos adequados ao devido acolhimento desses estudantes no ambiente escolar. Carga Horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 07/02/2025.  Esse curso é gratuito. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-ensino-de-linguas-adicionais-de-acolhimento-e-de-heranca/"
ESPECIALIZAÇÃO EM​ Estudos Literários e Ensino de Literatura,"O curso pertence à área de Linguística, Letras e Artes. O curso destina-se a profissionais formados em Letras e áreas relacionadas, que tenham interesse na pesquisa acadêmica com foco nos estudos literários e no ensino de literatura. O curso de Especialização em Estudos Literários e Ensino de Literatura se propõe a ampliar os conhecimentos teórico-críticos e práticos dos alunos ingressantes, possibilitando-lhes aperfeiçoar habilidades e competências referentes ao ensino de literatura. Assim como o contato com um  repertório representativo de obras literárias da literatura brasileira e de outras literaturas, seja no âmbito da historiografia literária, seja no da fortuna crítica dos autores enfocados. Neste sentido, o curso propicia aos profissionais da área uma proposta de educação continuada com pesquisadores qualificados que atuam na graduação e em cursos de pós-graduação na área de Letras. É preciso ressaltar, ainda, que a formação continuada de professores da educação básica atende às necessidades de qualificação e capacitação de profissionais que atuam na esfera municipal, estadual e particular de ensino. O curso será realizado por meio de aulas presenciais expositivo-dialogadas, baseadas em leitura, discussão e análise de textos literários, de adaptações fílmicas, de oficinas e de seminários temáticos, contando, também, com estratégias interdisciplinares com outras áreas do saber, além de atividades práticas tendo como objetivo o desenvolvimento de material de apoio didático-pedagógico para uso/aplicação em sala de aula no ensino básico. Carga horária: 360 horas. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 01/02/2025. Taxa de matrícula de R$ 350,00; Valor da mensalidade: R$ 350,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-estudos-literarios-e-ensino-de-literatura/"
ESPECIALIZAÇÃO EM​ Finanças e Gestão Estratégica de Negócios,"O curso pertence à área de Ciências Sociais Aplicadas. O curso destina-se a gestores, consultores, analistas, administradores, contadores, economistas e outros profissionais que atuam na área de administração de empresas, gerenciamento e finanças empresariais, bem como profissionais que atuem na área da docência superior de instituições de ensino públicas e privadas. O curso de Especialização em Finanças e Gestão Estratégica de Negócios tem por objetivo propiciar capacitação conceitual e prática na gestão de negócios e finanças, fornecendo aos participantes condições para alavancar suas carreiras e desenvolver uma visão estratégica e financeira de mercado, possibilitando aos participantes obter os subsídios necessários à tomada de decisão em contextos empresariais. Vive-se um momento de grandes transformações nos campos social, econômico e político. As decisões empresariais mudam constantemente e com isto as demandas por informação gerencial também. Neste sentido, conhecer técnicas modernas para uma boa gestão financeira e estratégica de negócios é crucial para os gestores angariem competências específicas que se adequem a esta realidade. O papel das disciplinas dos âmbitos financeiro e empresarial ganha expressiva importância por induzir as adaptações necessárias à sobrevivência das organizações, assim como, por fornecer subsídios para a busca de oportunidades de crescimento empresarial, dada a acirrada competitividade do mercado. Tal mercado, amplo e ágil, potencializa a possibilidade de inserção dos profissionais de Finanças e Gestão Estratégica de Negócios, evidenciando a necessidade de que haja um curso de especialização em tal área de trabalho nesta capital, criando um bom momento para que a FACE/UFG inclua em sua gama de cursos de pós-graduação, a Especialização em Finanças e Gestão Estratégica de Negócios. Horários: sexta-feira (18h30 às 22h30) e sábado (08h às 12h30 e 14h às 18h, eventualmente). Duração do curso: 12 Meses. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas em definição. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/especializacao-em-financas-e-gestao-estrategica-de-negocios/"
ESPECIALIZAÇÃO EM​ Fisiologia Humana Aplicada às Ciências da Saúde,"O curso pertence à área de Ciências Biológicas. O curso destina-se a profissionais graduados na área da saúde que desejam atualizar seus conhecimentos sobre Fisiologia Humana. O curso de Especialização em Fisiologia Humana Aplicada às Ciências da Saúde tem objetivo de capacitar profissionais que buscam conhecimentos avançados em fisiologia e fisiopatologia humana, desde a intrigante Biologia Celular até os complexos Sistemas Cardiovascular, Respiratório, Nervoso, Renal, Digestório e Hormonal. A especialização conta com um corpo docente composto exclusivamente por doutores de renome internacional, com vasta experiência prática e acadêmica nos temas abordados. Além de aulas práticas envolventes sobre os conteúdos e materiais atualizados, que permitirá você se identificar com algumas das linhas de pesquisas desenvolvidas nos programas de Mestrado ou Doutorado em Ciências Fisiológicas da Universidade Federal de Goiás (UFG), preparando-se ainda mais para enfrentar os desafios da prática profissional. Duração do curso: 24 Meses. Modalidade 100% Presencial. Reconhecido pelo MEC. Início das aulas 02/2025. Taxa de matrícula de R$ 30,00; Valor da mensalidade: R$ 395,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/fisiologia-humana-aplicada-as-ciencias-da-saude/"
ESPECIALIZAÇÃO EM Gestão e Qualidade Ambiental,"O curso pertence à área de Ciências Agrárias. O curso destina-se a profissionais que desejam atuar na gestão e qualidade ambiental, com foco em diagnóstico e solução de problemas ambientais. O curso de Especialização em Gestão e Qualidade Ambiental, tem como objetivo oferecer aulas teóricas, visitas técnicas e práticas, abordando monitoramento, conservação de ecossistemas e uso de tecnologias sustentáveis para proteção ambiental, culminando na publicação de artigo científico para profissionais que desejam atuar na gestão e qualidade ambiental, com foco em diagnóstico e solução de problemas ambientais. Objetivos Específicos: a) Desenvolver nos participantes competências e habilidades, a fim de que possam elaborar instrumentos para identificar a gênese e a evolução dos problemas ambientais e posterior solução; b) Capacitar os profissionais para monitorar e tratar os dados ambientais; c) Prestar suporte técnico especializado à atividade dos gestores ambientais; d) Gerir medidas de proteção e controle da qualidade ambiental; e) Ordenar o desenvolvimento de recursos naturais, conservar e manejar ecossistemas e espécies nele inseridas; f) Difundir tecnologias, informações e modelos de conservação ambiental do centro oeste do Brasil. Carga horária: 340 horas. Modalidade Híbrida. Reconhecido pelo MEC. Início das aulas 03/08/2024. Taxa de matrícula de R$ 100,00; Valor da mensalidade: R$ 390,00. Para mais informações, acesse: https://escoladepos.ufg.br/cursos/curso-de-especializacao-em-gestao-e-qualidade-ambiental/"
